issn,jn_title,oa_type,apc_currency,apc
0003-4266,Annales d'Endocrinologie,Hybrid,EUR,1500
0003-3928,Annales de cardiologie et d'angéiologie,Hybrid,EUR,1500
0294-1260,Annales de chirurgie plastique esthétique,Hybrid,EUR,2000
0151-9638,Annales de Dermatologie et de Vénéréologie,Hybrid,EUR,1500
0294-1449,Annales de l'Institut Henri Poincaré / Analyse non linéaire,Hybrid,USD,700
0753-3969,Annales de Paléontologie,Hybrid,USD,2950
0242-6498,Annales de Pathologie,Hybrid,EUR,2000
1879-7261,Annales françaises d?oto-rhino-laryngologie et de pathologie cervico-,Hybrid,EUR,2000
0003-4487,Annales médico-psychologiques,Hybrid,EUR,1500
0003-4509,Annales Pharmaceutiques Françaises,Hybrid,USD,3000
1081-1206,"Annals of Allergy, Asthma & Immunology",Hybrid,USD,3000
0940-9602,Annals of Anatomy,Hybrid,USD,1900
1092-9134,Annals of Diagnostic Pathology,Hybrid,USD,2600
0196-0644,Annals of Emergency Medicine,Hybrid,USD,3000
1047-2797,Annals of Epidemiology,Hybrid,USD,3000
2214-9996,Annals of Global Health,Hybrid,USD,1200
1665-2681,Annals of Hepatology,Open Access,USD,300
2049-0801,Annals of Medicine and Surgery,Open Access,USD,950
0306-4549,Annals of Nuclear Energy,Hybrid,USD,2100
0923-7534,Annals of Oncology,Hybrid,EUR,2250
1877-0657,Annals of Physical and Rehabilitation Medicine,Hybrid,EUR,2600
0003-4916,Annals of Physics,Hybrid,USD,2200
0168-0072,Annals of Pure and Applied Logic,Hybrid,USD,1500
0160-7383,Annals of Tourism Research,Hybrid,USD,1800
0890-5096,Annals of Vascular Surgery,Hybrid,USD,1800
1367-5788,Annual Reviews in Control,Hybrid,USD,3100
2213-3054,Anthropocene,Hybrid,USD,2500
0166-3542,Antiviral Research,Hybrid,USD,2950
0195-6663,Appetite,Hybrid,USD,3000
0003-682X,Applied Acoustics,Hybrid,USD,2500
1063-5203,Applied and Computational Harmonic Analysis,Hybrid,USD,1500
0168-1591,Applied Animal Behaviour Science,Hybrid,USD,3250
0926-860X,"Applied Catalysis A, General",Hybrid,USD,2650
0926-3373,Applied Catalysis B: Environmental,Hybrid,USD,3150
0169-1317,Applied Clay Science,Hybrid,USD,2500
2590-1974,Applied Computing and Geosciences,Open Access,USD,750
0306-2619,Applied Energy,Hybrid,USD,3650
0003-6870,Applied Ergonomics,Hybrid,USD,3300
0883-2927,Applied Geochemistry,Hybrid,USD,2750
0143-6228,Applied Geography,Hybrid,USD,2650
2352-9407,Applied Materials Today,Hybrid,USD,2350
0307-904X,Applied Mathematical Modelling,Hybrid,USD,1600
0096-3003,Applied Mathematics and Computation,Hybrid,USD,1750
0893-9659,Applied Mathematics Letters,Hybrid,USD,1500
2666-1179,Applied Mathematics Letters: X,Open Access,USD,1500
0168-9274,Applied Numerical Mathematics,Hybrid,USD,1300
0897-1897,Applied Nursing Research,Hybrid,USD,2000
0141-1187,Applied Ocean Research,Hybrid,USD,2500
0969-8043,Applied Radiation and Isotopes,Hybrid,USD,2500
1568-4946,Applied Soft Computing Journal,Hybrid,USD,2400
0929-1393,Applied Soil Ecology,Hybrid,USD,2600
0169-4332,Applied Surface Science,Hybrid,USD,2850
1359-4311,Applied Thermal Engineering,Hybrid,USD,3000
1886-6581,Apunts. Medicina de l'Esport,Hybrid,USD,3000
0144-8609,Aquacultural Engineering,Hybrid,USD,3750
0044-8486,Aquaculture,Hybrid,USD,4000
2352-5134,Aquaculture Reports,Open Access,USD,1200
0304-3770,Aquatic Botany,Hybrid,USD,3300
0166-445X,Aquatic Toxicology,Hybrid,USD,3700
1687-1979,Arab Journal of Gastroenterology,Hybrid,USD,3000
2352-2267,Archaeological Research in Asia,Hybrid,USD,1100
0929-693X,Archives de pédiatrie,Hybrid,EUR,3000
1261-694X,Archives des Maladies du Coeur et des Vaisseaux ? Pratique,Hybrid,EUR,2000
1775-8785,Archives des Maladies Professionnelles et de l'Environnement,Hybrid,EUR,2000
0003-9861,Archives of Biochemistry and Biophysics,Hybrid,USD,3250
1875-2136,Archives of Cardiovascular Diseases,Hybrid,EUR,2600
1644-9665,Archives of Civil and Mechanical Engineering,Hybrid,EUR,3000
0167-4943,Archives of Gerontology and Geriatrics,Hybrid,USD,2600
0188-4409,Archives of Medical Research,Hybrid,USD,2750
0003-9969,Archives of Oral Biology,Hybrid,USD,2700
0003-9993,Archives of Physical Medicine and Rehabilitation,Hybrid,USD,3500
0883-9417,Archives of Psychiatric Nursing,Hybrid,USD,2500
2590-1095,Archives of Rehabilitation Research and Clinical Translation,Open Access,USD,2000
0300-2896,Archivos de Bronconeumologia,Hybrid,EUR,3000
1579-2129,Archivos de Bronconeumología (English Edition),Hybrid,USD,3000
0365-6691,Archivos de la Sociedad Espanola de Oftalmologia,Hybrid,USD,3000
2173-5794,Archivos de la Sociedad Española de Oftalmología (English Ed),Hybrid,USD,3000
2590-0056,Array,Open Access,USD,1350
2352-3441,Arthroplasty Today,Open Access,USD,1995
1467-8039,Arthropod Structure and Development,Hybrid,USD,2500
2212-6287,Arthroscopy Techniques,Open Access,USD,900
0749-8063,Arthroscopy: The Journal of Arthroscopic and Related Surgery,Hybrid,USD,2500
0004-3702,Artificial Intelligence,Hybrid,USD,2750
0933-3657,Artificial Intelligence In Medicine,Hybrid,USD,2500
1876-2018,Asian Journal of Psychiatry,Hybrid,USD,2500
1976-1317,Asian Nursing Research,Open Access,USD,1000
1075-2935,Assessing Writing,Hybrid,USD,1800
2213-1337,Astronomy and Computing,Hybrid,USD,2200
0927-6505,Astroparticle Physics,Hybrid,USD,2200
0212-6567,Atencion Primaria,Open Access,EUR,700
2605-0730,Atención Primaria Práctica,Open Access,EUR,1500
0021-9150,Atherosclerosis,Hybrid,USD,3200
1567-5688,Atherosclerosis (Supplements) (Component),Hybrid,USD,3000
2590-1354,Atherosclerosis: X,Open Access,USD,2100
1061-3315,Atlas of the Oral & Maxillofacial Surgery Clinics of North A,Hybrid,USD,3000
2590-1621,Atmospheric Environment: X,Open Access,USD,1400
1309-1042,Atmospheric Pollution Research,Hybrid,USD,1500
0169-8095,Atmospheric Research,Hybrid,USD,3000
0092-640X,Atomic Data and Nuclear Data Tables,Hybrid,USD,2200
0385-8146,Auris Nasus Larynx,Hybrid,USD,3000
2588-994X,Australasian Emergency Care,Hybrid,USD,1700
1441-3582,Australasian Marketing Journal (AMJ),Hybrid,USD,1100
1036-7314,Australian Critical Care,Hybrid,USD,1700
1568-9972,Autoimmunity Reviews,Hybrid,USD,4000
0005-1098,Automatica,Hybrid,USD,3300
0926-5805,Automation in Construction,Hybrid,USD,2700
1566-0702,Autonomic Neuroscience: Basic and Clinical,Hybrid,USD,2500
1439-1791,Basic and Applied Ecology,Hybrid,USD,3000
0005-2728,BBA - Bioenergetics,Hybrid,USD,4025
0005-2736,BBA - Biomembranes,Hybrid,USD,3600
1874-9399,BBA - Gene Regulatory Mechanisms,Hybrid,USD,4250
0304-4165,BBA - General Subjects,Hybrid,USD,4025
1388-1981,BBA - Molecular and Cell Biology of Lipids,Hybrid,USD,4250
0925-4439,BBA - Molecular Basis of Disease,Hybrid,USD,3650
0167-4889,BBA - Molecular Cell Research,Hybrid,USD,4025
1570-9639,BBA - Proteins and Proteomics,Hybrid,USD,3550
0304-419X,BBA - Reviews on Cancer,Hybrid,USD,3900
0005-7894,Behavior Therapy,Hybrid,USD,3000
0005-7967,Behaviour Research and Therapy,Hybrid,USD,3550
0166-4328,Behavioural Brain Research,Hybrid,USD,2850
0376-6357,Behavioural Processes,Hybrid,USD,2300
1521-6896,Best Practice & Research Clinical Anaesthesiology,Hybrid,USD,2500
1521-690X,Best Practice & Research Clinical Endocrinology & Metabolism,Hybrid,USD,2500
1521-6918,Best Practice & Research Clinical Gastroenterology,Hybrid,USD,2500
1521-6926,Best Practice & Research Clinical Haematology,Hybrid,USD,2000
1521-6934,Best Practice & Research Clinical Obstetrics & Gynaecology,Hybrid,USD,2500
1521-6942,Best Practice & Research Clinical Rheumatology,Hybrid,USD,2500
2214-5796,Big Data Research,Hybrid,USD,2400
2212-6198,Bioactive Carbohydrates and Dietary Fibre,Hybrid,USD,3000
2452-199X,Bioactive Materials,Open Access,USD,630
1878-8181,Biocatalysis and Agricultural Biotechnology,Hybrid,USD,2200
0006-291X,Biochemical and Biophysical Research Communications,Hybrid,USD,2450
1369-703X,Biochemical Engineering Journal,Hybrid,USD,3450
0006-2952,Biochemical Pharmacology,Hybrid,USD,4250
0305-1978,Biochemical Systematics and Ecology,Hybrid,USD,2600
2405-5808,Biochemistry and Biophysics Reports,Open Access,USD,1700
2214-0085,Biochimie Open,Open Access,EUR,1200
0208-5216,Biocybernetics and Biomedical Engineering,Hybrid,USD,1500
1567-5394,Bioelectrochemistry,Hybrid,USD,2600
2590-2075,Biofilm,Open Access,USD,1900
0006-3207,Biological Conservation,Hybrid,USD,3400
1049-9644,Biological Control,Hybrid,USD,3000
0006-3223,Biological Psychiatry,Hybrid,USD,3300
2451-9022,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Hybrid,USD,3000
0301-0511,Biological Psychology,Hybrid,USD,3050
2212-683X,Biologically Inspired Cognitive Architectures,Hybrid,USD,2400
1045-1056,Biologicals,Hybrid,USD,3000
1083-8791,Biology of Blood and Marrow Transplantation,Hybrid,USD,3650
2666-1446,Biomarkers in Neuropsychiatry,Open Access,USD,1750
0961-9534,Biomass and Bioenergy,Hybrid,USD,3700
0142-9612,Biomaterials,Hybrid,USD,3900
1746-8094,Biomedical Signal Processing and Control,Hybrid,USD,1700
0753-3322,Biomedicine & Pharmacotherapy,Open Access,USD,3000
2214-7535,Biomolecular Detection and Quantification,Open Access,USD,1850
0968-0896,Bioorganic & Medicinal Chemistry,Hybrid,USD,2500
0960-894X,Bioorganic & Medicinal Chemistry Letters,Hybrid,USD,2500
0045-2068,Bioorganic Chemistry,Hybrid,USD,2600
0301-4622,Biophysical Chemistry,Hybrid,USD,3300
0006-3495,Biophysical Journal,Hybrid,USD,2500
2405-8866,Bioprinting,Hybrid,USD,1700
0960-8524,Bioresource Technology,Hybrid,USD,3700
2590-0536,Biosafety and Health,Open Access,USD,2500
2590-1370,Biosensors and Bioelectronics: X,Open Access,USD,3500
0303-2647,BioSystems,Hybrid,USD,2100
1537-5110,Biosystems Engineering,Hybrid,USD,2750
0734-9750,Biotechnology Advances,Hybrid,USD,4150
2215-017X,Biotechnology Reports,Open Access,USD,1850
2352-5738,Biotribology,Hybrid,USD,1000
2058-5349,BJA Education,Hybrid,USD,3200
1079-9796,"Blood Cells, Molecules and Diseases",Hybrid,USD,3500
0268-960X,Blood Reviews,Hybrid,USD,3400
1740-1445,Body Image,Hybrid,USD,2100
8756-3282,Bone,Hybrid,USD,2650
2352-1872,Bone Reports,Open Access,USD,1450
1538-4721,Brachytherapy,Hybrid,USD,3300
0278-2626,Brain and Cognition,Hybrid,USD,2100
0387-7604,Brain and Development,Hybrid,USD,3000
0093-934X,Brain and Language,Hybrid,USD,2650
0889-1591,Brain Behavior and Immunity,Hybrid,USD,3150
0006-8993,Brain Research,Hybrid,USD,2500
0361-9230,Brain Research Bulletin,Hybrid,USD,2350
1935-861X,Brain Stimulation,Hybrid,USD,2750
1413-8670,Brazilian Journal of Infectious Diseases,Open Access,USD,1500
0007-0912,British Journal of Anaesthesia,Hybrid,USD,3200
0266-4356,British Journal of Oral & Maxillofacial Surgery,Hybrid,USD,3300
0360-1323,Building and Environment,Hybrid,USD,2850
0007-4497,Bulletin des sciences mathématiques,Hybrid,USD,750
0007-4551,Bulletin du Cancer,Hybrid,EUR,1500
0305-4179,Burns,Hybrid,USD,3000
2468-9122,Burns Open,Open Access,USD,1400
0007-6813,Business Horizons,Hybrid,USD,1800
0007-9820,Cahiers de la puéricultrice,Hybrid,USD,3000
0007-9960,Cahiers de Nutrition et de Diététique,Hybrid,EUR,2000
0364-5916,Calphad,Hybrid,USD,2500
0846-5371,Canadian Association of Radiologists Journal,Hybrid,USD,1700
0828-282X,Canadian Journal of Cardiology,Hybrid,USD,3200
1499-2671,Canadian Journal of Diabetes,Hybrid,USD,3300
0008-4182,"Canadian Journal of Ophthalmology/Journal canadiend'ophtalmologie",Hybrid,USD,3000
1278-3218,Cancer / Radiothérapie,Hybrid,EUR,3000
1535-6108,Cancer Cell,Hybrid,USD,5200
1877-7821,Cancer Epidemiology,Hybrid,USD,2750
2210-7762,Cancer Genetics,Hybrid,USD,3000
0304-3835,Cancer Letters,Hybrid,USD,3550
2468-2942,Cancer Treatment and Research Communications,Hybrid,USD,650
0305-7372,Cancer Treatment Reviews,Hybrid,USD,3400
0144-8617,Carbohydrate Polymers,Hybrid,USD,3150
0008-6215,Carbohydrate Research,Hybrid,USD,3500
0008-6223,Carbon,Hybrid,USD,3700
1877-9182,Cardiac Electrophysiology Clinics,Hybrid,USD,3000
0733-8651,Cardiology Clinics,Hybrid,USD,3000
1054-8807,Cardiovascular Pathology,Hybrid,USD,3000
1553-8389,Cardiovascular Revascularization Medicine,Hybrid,USD,2500
2468-6441,CASE,Open Access,USD,830
2214-9112,Case Reports in Women's Health,Open Access,USD,500
2666-0164,Case Studies in Chemical and Environmental Engineering,Open Access,USD,600
2214-5095,Case Studies in Construction Materials,Open Access,USD,550
2214-157X,Case Studies in Thermal Engineering,Open Access,USD,550
2213-624X,Case Studies on Transport Policy,Hybrid,USD,1800
1566-7367,Catalysis Communications,Hybrid,USD,2200
0920-5861,Catalysis Today,Hybrid,USD,3450
0341-8162,Catena,Hybrid,USD,2650
0092-8674,Cell,Hybrid,USD,5900
0143-4160,Cell Calcium,Hybrid,USD,3450
2451-9456,Cell Chemical Biology,Hybrid,USD,5200
1931-3128,Cell Host & Microbe,Hybrid,USD,5200
1550-4131,Cell Metabolism,Hybrid,USD,5200
2211-1247,Cell Reports,Open Access,USD,5200
1934-5909,Cell Stem Cell,Hybrid,USD,5200
2405-4712,Cell Systems,Hybrid,USD,5200
2352-345X,Cellular and Molecular Gastroenterology and Hepatology,Open Access,USD,2000
0008-8749,Cellular Immunology,Hybrid,USD,2350
0898-6568,Cellular Signalling,Hybrid,USD,3050
0958-9465,Cement and Concrete Composites,Hybrid,USD,3300
0008-8846,Cement and Concrete Research,Hybrid,USD,3500
0272-8842,Ceramics International,Hybrid,USD,2950
2590-0544,"Chaos, Solitons & Fractals: X",Open Access,USD,2200
2405-8300,Chemical Data Collections,Hybrid,USD,500
0255-2701,Chemical Engineering and Processing - Process Intensification,Hybrid,USD,2500
1385-8947,Chemical Engineering Journal,Hybrid,USD,3800
0263-8762,Chemical Engineering Research and Design,Hybrid,USD,3300
2590-1400,Chemical Engineering Science: X,Open Access,USD,3500
0009-2541,Chemical Geology,Hybrid,USD,1950
0301-0104,Chemical Physics,Hybrid,USD,3050
2590-1419,Chemical Physics Letters: X,Open Access,USD,3050
0009-2797,Chemico-Biological Interactions,Hybrid,USD,2200
0009-3084,Chemistry and Physics of Lipids,Hybrid,USD,3100
0169-7439,Chemometrics and Intelligent Laboratory Systems,Hybrid,USD,2600
0045-6535,Chemosphere,Hybrid,USD,3400
0012-3692,Chest,Hybrid,USD,3300
0145-2134,Child Abuse & Neglect,Hybrid,USD,2100
1056-4993,Child and Adolescent Psychiatric Clinics of North America,Hybrid,USD,3000
0190-7409,Children and Youth Services Review,Hybrid,USD,1500
1043-951X,China Economic Review,Hybrid,USD,1800
0275-1062,Chinese Astronomy and Astrophysics,Hybrid,USD,2200
1674-6384,Chinese Herbal Medicines,Hybrid,USD,1000
1872-2040,Chinese Journal of Analytical Chemistry,Hybrid,USD,3000
1872-2067,Chinese Journal of Catalysis,Hybrid,USD,3000
1004-9541,Chinese Journal of Chemical Engineering,Hybrid,USD,3000
1875-5364,Chinese Journal of Natural Medicines,Hybrid,USD,3000
1001-9294,Chinese Medical Sciences Journal,Hybrid,USD,3000
2095-882X,Chronic Diseases and Translational Medicine,Open Access,USD,1500
0007-8506,CIRP Annals - Manufacturing Technology,Hybrid,USD,3100
1755-5817,CIRP Journal of Manufacturing Science and Technology,Hybrid,USD,2400
0009-739X,Cirugia Espanola,Hybrid,USD,3000
2173-5077,Cirugía Española (English Edition),Hybrid,USD,3000
0264-2751,Cities,Hybrid,USD,1300
2590-2520,City and Environment Interactions,Open Access,USD,1400
1877-9166,"City, Culture and Society",Hybrid,USD,1100
2589-790X,CJC Open,Open Access,USD,2100
2212-0963,Climate Risk Management,Open Access,USD,1500
2405-8807,Climate Services,Open Access,USD,1800
0009-8981,Clinica Chimica Acta,Hybrid,USD,3550
0214-9168,Clinica e Investigacion en Arteriosclerosis,Hybrid,EUR,1500
0210-573X,Clinica e Investigacion en Ginecologia y Obstetricia,Hybrid,EUR,1500
2405-6308,Clinical and Translational Radiation Oncology,Open Access,EUR,560
0009-9120,Clinical Biochemistry,Hybrid,USD,2400
0268-0033,Clinical Biomechanics,Hybrid,USD,3300
1526-8209,Clinical Breast Cancer,Hybrid,USD,1900
1533-0028,Clinical Colorectal Cancer,Hybrid,USD,1900
2213-3984,Clinical Epidemiology and Global Health,Hybrid,USD,3000
1542-3565,Clinical Gastroenterology and Hepatology,Hybrid,USD,3000
1558-7673,Clinical Genitourinary Cancer,Hybrid,USD,1800
0899-7071,Clinical Imaging,Hybrid,USD,2500
1521-6616,Clinical Immunology,Hybrid,USD,3900
2590-1702,Clinical Infection in Practice,Open Access,USD,560
1525-7304,Clinical Lung Cancer,Hybrid,USD,1900
2152-2650,"Clinical Lymphoma, Myeloma and Leukemia",Hybrid,USD,1900
1198-743X,Clinical Microbiology and Infection,Hybrid,USD,3200
0196-4399,Clinical Microbiology Newsletter,Hybrid,USD,2500
0303-8467,Clinical Neurology and Neurosurgery,Hybrid,USD,1800
1388-2457,Clinical Neurophysiology,Hybrid,USD,2500
2467-981X,Clinical Neurophysiology Practice,Open Access,USD,1085
0261-5614,Clinical Nutrition,Hybrid,USD,2700
2405-4577,Clinical Nutrition ESPEN,Hybrid,USD,2500
2352-9393,Clinical Nutrition Experimental,Open Access,USD,1200
0936-6555,Clinical Oncology,Hybrid,USD,2875
2590-1125,Clinical Parkinsonism & Related Disorders,Open Access,USD,1450
1522-8401,Clinical Pediatric Emergency Medicine,Hybrid,USD,2500
2212-8166,Clinical Plasma Medicine,Hybrid,USD,2050
0272-7358,Clinical Psychology Review,Hybrid,USD,2100
0009-9260,Clinical Radiology,Hybrid,USD,2875
1876-1399,Clinical Simulation in Nursing,Hybrid,USD,1700
2666-0547,Clinical Spectroscopy,Open Access,USD,875
0149-2918,Clinical Therapeutics,Hybrid,USD,3250
2590-1443,Clinics and Research in Hepatology and Gastroenterology: X,Open Access,EUR,1500
0272-5231,Clinics in Chest Medicine,Hybrid,USD,3000
0738-081X,Clinics in Dermatology,Hybrid,USD,2500
0749-0690,Clinics in Geriatric Medicine,Hybrid,USD,3000
0272-2712,Clinics in Laboratory Medicine,Hybrid,USD,3000
1089-3261,Clinics in Liver Disease,Hybrid,USD,3000
0095-5108,Clinics in Perinatology,Hybrid,USD,3000
0094-1298,Clinics in Plastic Surgery,Hybrid,USD,3000
0891-8422,Clinics in Podiatric Medicine and Surgery,Hybrid,USD,3000
0278-5919,Clinics in Sports Medicine,Hybrid,USD,3000
0378-3839,Coastal Engineering,Hybrid,USD,3150
0010-0277,Cognition,Hybrid,USD,2450
1077-7229,Cognitive and Behavioral Practice,Hybrid,USD,3000
0885-2014,Cognitive Development,Hybrid,USD,2050
0010-0285,Cognitive Psychology,Hybrid,USD,2100
1389-0417,Cognitive Systems Research,Hybrid,USD,2400
0165-232X,Cold Regions Science and Technology,Hybrid,USD,3000
1322-7696,Collegian,Hybrid,USD,1700
2215-0382,Colloid and Interface Science Communications,Hybrid,USD,1500
0927-7757,Colloids and Surfaces A: Physicochemical and Engineering Aspects,Hybrid,USD,2750
0927-7765,Colloids and Surfaces B: Biointerfaces,Hybrid,USD,3500
0010-2180,Combustion and Flame,Hybrid,USD,2450
1007-5704,Communications in Nonlinear Science and Numerical Simulation,Hybrid,USD,2200
0967-067X,Communist and Post-Communist Studies,Hybrid,USD,1800
1744-117X,"Comparative Biochemistry and Physiology - Part D: Genomics andProteomics",Hybrid,USD,3000
1095-6433,"Comparative Biochemistry and Physiology, Part A",Hybrid,USD,3000
1096-4959,"Comparative Biochemistry and Physiology, Part B",Hybrid,USD,3000
1532-0456,"Comparative Biochemistry and Physiology, Part C",Hybrid,USD,3000
0147-9571,"Comparative Immunology, Microbiology and Infectious Diseases",Hybrid,USD,3300
1744-3881,Complementary Therapies in Clinical Practice,Hybrid,USD,2500
0965-2299,Complementary Therapies in Medicine,Hybrid,USD,2200
0263-8223,Composite Structures,Hybrid,USD,2850
2452-2139,Composites Communications,Hybrid,USD,1500
1359-835X,Composites Part A,Hybrid,USD,3300
1359-8368,Composites Part B,Hybrid,USD,2850
0266-3538,Composites Science and Technology,Hybrid,USD,3500
0010-440X,Comprehensive Psychiatry,Open Access,USD,2100
1631-0691,Comptes rendus - Biologies,Hybrid,USD,1600
1631-0748,Comptes rendus - Chimie,Hybrid,USD,1400
1631-0713,Comptes rendus - Geoscience,Hybrid,USD,1300
1631-073X,Comptes rendus - Mathématique,Hybrid,USD,1100
1631-0721,Comptes rendus - Mécanique,Hybrid,USD,1300
1631-0683,Comptes rendus - Palevol,Hybrid,USD,1100
1631-0705,Comptes rendus - Physique,Hybrid,USD,1300
2001-0370,Computational and Structural Biotechnology Journal,Open Access,EUR,2200
2210-271X,Computational and Theoretical Chemistry,Hybrid,USD,1900
1476-9271,Computational Biology and Chemistry,Hybrid,USD,2600
2352-2143,Computational Condensed Matter,Hybrid,USD,1050
0925-7721,Computational Geometry: Theory and Applications,Hybrid,USD,2400
0927-0256,Computational Materials Science,Hybrid,USD,3000
0167-9473,Computational Statistics and Data Analysis,Hybrid,USD,1400
0167-8396,Computer Aided Geometric Design,Hybrid,USD,2400
0140-3664,Computer Communications,Hybrid,USD,2400
1477-8424,"Computer Languages, Systems & Structures",Hybrid,USD,1500
0267-3649,"Computer Law & Security Review: The International Journal ofTechnology Law and Practice",Hybrid,USD,2400
0169-2607,Computer Methods and Programs in Biomedicine,Hybrid,USD,3000
